材料名,メモ,材料タイプ,熱伝導率 [W/mK],比熱 [KJ/kg･K],密度 [kg/m3]
【H28基準】アルミニウム,,0,210,0.88,2700
【H28基準】ステンレス鋼,,0,15,0.47,7400
【H28基準】銅,,0,370,0.39,8300
【H28基準】鋼,,0,55,0.46,7900
【H28基準】A級インシュレーションボード,,1,0.058,1.8,300
【H28基準】MDF,,1,0.12,1.37,600
【H28基準】シージングボード,,1,0.067,1.8,350
【H28基準】タタミボード,,1,0.056,1.8,250
【H28基準】ハードボード,,1,0.17,1.37,900
【H28基準】パーティクルボード,,1,0.17,1.3,550
【H28基準】木毛セメント板,,1,0.13,1.88,565
【H28基準】木片セメント板,,1,0.15,1.68,600
【H28基準】コンクリートブロック（軽量）,,2,0.53,1.1,1500
【H28基準】コンクリートブロック（重量）,,2,1.1,0.78,2300
【H28基準】セメント・モルタル,,2,1.5,0.8,2000
【H28基準】押出成型セメント板,,2,0.47,1.13,1900
【H28基準】軽量コンクリート（軽量1種）,,2,0.8,1,1900
【H28基準】軽量コンクリート（軽量2種）,,2,0.5,1,1600
【H28基準】A種ポリエチレンフォーム保温板1種2号,熱伝導率 0.042 W/mK,3,0.042,1.3,10
【H28基準】A種ポリエチレンフォーム保温板2種,熱伝導率 0.038 W/mK,3,0.038,2.3,20
【H28基準】ロックウール断熱材（ボード）,熱伝導率 0.036 W/mK,3,0.036,0.84,80
【H28基準】吹付けロックウール,熱伝導率 0.064 W/mK,3,0.064,1.42,290
