材料名,メモ,材料タイプ,日射透過特性（透過率）,日射透過特性（反射率）,日射遮蔽係数（SC）（1.0基準）,熱貫流率 [W/m2K],可視光透過特性（透過率）
【H25基準】[三層]LowE複層ガラス（LowE2枚）,η=0.33相当 U=0.55,4,0.248,0.449,0.37,0.55,0.58
【H25基準】[二層]LowE複層ガラス・日射取得型,η=0.58相当 U=1.8,4,0.529,0.278,0.66,1.8,0.73
【H25基準】[二層]LowE複層ガラス・日射遮蔽型,η=0.41相当 U=1.1,4,0.355,0.421,0.47,1.1,0.72
【H25基準】[二層]熱線反射複層ガラス2種,η=0.39相当 U=3.1,4,0.227,0.144,0.45,3.1,0.29
【H25基準】[二層]熱線吸収複層ガラス,η=0.53相当 U=3.3,4,0.381,0.07,0.6,3.3,0.4
【H25基準】[二層]透明複層ガラス,η=0.79相当 U=3.3,4,0.757,0.134,0.89,3.3,0.82
【H25基準】[単層]熱線反射ガラス2種,η=0.44相当 U=5.3,4,0.305,0.176,0.5,5.3,0.35
【H25基準】[単層]熱線反射ガラス3種,η=0.24相当 U=4.7,4,0.084,0.336,0.27,4.7,0.1
【H25基準】[単層]熱線吸収板ガラス,η=0.63相当 U=5.9,4,0.52,0.057,0.72,5.9,0.5
【H25基準】[単層]透明板ガラス,η=0.88相当 U=6.0,4,0.867,0.076,1,6,0.9
【HEAT20】LowE複層(A10以上)日射取得型,η=0.58相当 U=1.8,4,0.529,0.278,0.66,1.8,0.73
【HEAT20】LowE複層(G12以上)日射取得型,η=0.55相当 U=1.2,4,0.509,0.329,0.63,1.2,0.79
【HEAT20】ダブルLowE三層複層(G7以上×2)日射取得型,η=0.45相当 U=0.60,4,0.372,0.382,0.51,0.6,0.69
