材料名,メモ,材料タイプ,熱貫流率 [W/m2K],日射透過特性（透過率）,日射透過特性（反射率）,日射遮蔽係数（SC）（1.0基準）,可視光透過特性（透過率）
低放射複層ガラスA(AS12),空気層12mm,4,0,0.621,0.155,0.85,0.7
低放射複層ガラスA(AS6),空気層6mm,4,0,0.621,0.155,0.84,0.7
低放射複層ガラスB(AS12),空気層12mm,4,0,0.504,0.281,0.7,0.7
低放射複層ガラスB(AS6),空気層6mm,4,0,0.504,0.281,0.69,0.7
低放射複層ガラスC(AS12),空気層12mm,4,0,0.444,0.298,0.67,0.7
低放射複層ガラスC(AS6),空気層6mm,4,0,0.444,0.298,0.66,0.7
普通三層複層ガラス,,4,0,0.638,0.176,0.81,0.8
普通単板ガラス,,4,0,0.856,0.077,1,0.9
普通複層ガラス(AS12),空気層12mm,4,0,0.737,0.134,0.9,0.8
普通複層ガラス(AS6),空気層6mm,4,0,0.737,0.134,0.9,0.8
熱線反射ガラス2種,,4,0,0.387,0.136,0.63,0.6
熱線反射ガラス3種,,4,0,0.173,0.198,0.4,0.6
遮熱複層ガラスA(AS12),空気層12mm,4,0,0.444,0.294,0.57,0.7
遮熱複層ガラスA(AS6),空気層6mm,4,0,0.444,0.294,0.57,0.7
遮熱複層ガラスB(AS12),空気層12mm,4,0,0.36,0.357,0.47,0.7
遮熱複層ガラスB(AS6),空気層6mm,4,0,0.36,0.357,0.48,0.7
遮熱複層ガラスC(AS12),空気層12mm,4,0,0.431,0.074,0.61,0.7
遮熱複層ガラスC(AS6),空気層6mm,4,0,0.431,0.074,0.63,0.7
